0.0007853507995605 0.807000 15.000000	0.807000, 15.000000, 0.010297
0.0008111000061035 0.807000 16.000000	0.807000, 16.000000, 0.010635
0.0008368492126465 0.807000 17.000000	0.807000, 17.000000, 0.010962
0.0008606910705566 0.807000 18.000000	0.807000, 18.000000, 0.011280
0.0008845329284668 0.807000 19.000000	0.807000, 19.000000, 0.011589
0.0009074211120605 0.807000 20.000000	0.807000, 20.000000, 0.011890
0.0002045631408691 0.808000 1.000000	0.808000, 1.000000, 0.002679
0.0002894401550293 0.808000 2.000000	0.808000, 2.000000, 0.003789
0.0003542900085449 0.808000 3.000000	0.808000, 3.000000, 0.004641
0.0004096031188965 0.808000 4.000000	0.808000, 4.000000, 0.005359
0.0004572868347168 0.808000 5.000000	0.808000, 5.000000, 0.005991
0.0005011558532715 0.808000 6.000000	0.808000, 6.000000, 0.006563
0.0005412101745605 0.808000 7.000000	0.808000, 7.000000, 0.007089
0.0005784034729004 0.808000 8.000000	0.808000, 8.000000, 0.007579
0.0006136894226074 0.808000 9.000000	0.808000, 9.000000, 0.008038
0.0006470680236816 0.808000 10.000000	0.808000, 10.000000, 0.008473
0.0006785392761230 0.808000 11.000000	0.808000, 11.000000, 0.008887
0.0007090568542480 0.808000 12.000000	0.808000, 12.000000, 0.009282
0.0007376670837402 0.808000 13.000000	0.808000, 13.000000, 0.009661
0.0007653236389160 0.808000 14.000000	0.808000, 14.000000, 0.010026
0.0007929801940918 0.808000 15.000000	0.808000, 15.000000, 0.010377
0.0008187294006348 0.808000 16.000000	0.808000, 16.000000, 0.010718
0.0008435249328613 0.808000 17.000000	0.808000, 17.000000, 0.011048
0.0008683204650879 0.808000 18.000000	0.808000, 18.000000, 0.011368
0.0008921623229980 0.808000 19.000000	0.808000, 19.000000, 0.011679
0.0009150505065918 0.808000 20.000000	0.808000, 20.000000, 0.011983
0.0002064704895020 0.809000 1.000000	0.809000, 1.000000, 0.002700
0.0002923011779785 0.809000 2.000000	0.809000, 2.000000, 0.003818
0.0003581047058105 0.809000 3.000000	0.809000, 3.000000, 0.004676
0.0004124641418457 0.809000 4.000000	0.809000, 4.000000, 0.005400
0.0004620552062988 0.809000 5.000000	0.809000, 5.000000, 0.006037
0.0005059242248535 0.809000 6.000000	0.809000, 6.000000, 0.006614
0.0005459785461426 0.809000 7.000000	0.809000, 7.000000, 0.007143
0.0005841255187988 0.809000 8.000000	0.809000, 8.000000, 0.007637
0.0006194114685059 0.809000 9.000000	0.809000, 9.000000, 0.008100
0.0006527900695801 0.809000 10.000000	0.809000, 10.000000, 0.008538
0.0006852149963379 0.809000 11.000000	0.809000, 11.000000, 0.008955
0.0007147789001465 0.809000 12.000000	0.809000, 12.000000, 0.009353
0.0007443428039551 0.809000 13.000000	0.809000, 13.000000, 0.009735
0.0007729530334473 0.809000 14.000000	0.809000, 14.000000, 0.010102
0.0007996559143066 0.809000 15.000000	0.809000, 15.000000, 0.010457
0.0008254051208496 0.809000 16.000000	0.809000, 16.000000, 0.010800
0.0008511543273926 0.809000 17.000000	0.809000, 17.000000, 0.011132
0.0008759498596191 0.809000 18.000000	0.809000, 18.000000, 0.011455
0.0008997917175293 0.809000 19.000000	0.809000, 19.000000, 0.011769
0.0009236335754395 0.809000 20.000000	0.809000, 20.000000, 0.012075
0.0002083778381348 0.810000 1.000000	0.810000, 1.000000, 0.002720
0.0002951622009277 0.810000 2.000000	0.810000, 2.000000, 0.003847
0.0003609657287598 0.810000 3.000000	0.810000, 3.000000, 0.004712
0.0004162788391113 0.810000 4.000000	0.810000, 4.000000, 0.005441
0.0004658699035645 0.810000 5.000000	0.810000, 5.000000, 0.006083
0.0005097389221191 0.810000 6.000000	0.810000, 6.000000, 0.006663
0.0005507469177246 0.810000 7.000000	0.810000, 7.000000, 0.007197
0.0005888938903809 0.810000 8.000000	0.810000, 8.000000, 0.007694
0.0006251335144043 0.810000 9.000000	0.810000, 9.000000, 0.008161
0.0006585121154785 0.810000 10.000000	0.810000, 10.000000, 0.008602
0.0006909370422363 0.810000 11.000000	0.810000, 11.000000, 0.009022
0.0007214546203613 0.810000 12.000000	0.810000, 12.000000, 0.009423
0.0007510185241699 0.810000 13.000000	0.810000, 13.000000, 0.009808
0.0007796287536621 0.810000 14.000000	0.810000, 14.000000, 0.010178
0.0008063316345215 0.810000 15.000000	0.810000, 15.000000, 0.010536
0.0008330345153809 0.810000 16.000000	0.810000, 16.000000, 0.010881
0.0008587837219238 0.810000 17.000000	0.810000, 17.000000, 0.011216
0.0008835792541504 0.810000 18.000000	0.810000, 18.000000, 0.011541
0.0009074211120605 0.810000 19.000000	0.810000, 19.000000, 0.011857
0.0009312629699707 0.810000 20.000000	0.810000, 20.000000, 0.012165
0.0002102851867676 0.811000 1.000000	0.811000, 1.000000, 0.002740
0.0002970695495605 0.811000 2.000000	0.811000, 2.000000, 0.003875
0.0003638267517090 0.811000 3.000000	0.811000, 3.000000, 0.004746
0.0004200935363770 0.811000 4.000000	0.811000, 4.000000, 0.005481
0.0004696846008301 0.811000 5.000000	0.811000, 5.000000, 0.006128
0.0005145072937012 0.811000 6.000000	0.811000, 6.000000, 0.006712
0.0005555152893066 0.811000 7.000000	0.811000, 7.000000, 0.007250
0.0005946159362793 0.811000 8.000000	0.811000, 8.000000, 0.007751
0.0006308555603027 0.811000 9.000000	0.811000, 9.000000, 0.008221
0.0006642341613770 0.811000 10.000000	0.811000, 10.000000, 0.008666
0.0006966590881348 0.811000 11.000000	0.811000, 11.000000, 0.009089
0.0007281303405762 0.811000 12.000000	0.811000, 12.000000, 0.009493
0.0007576942443848 0.811000 13.000000	0.811000, 13.000000, 0.009880
0.0007863044738770 0.811000 14.000000	0.811000, 14.000000, 0.010253
0.0008139610290527 0.811000 15.000000	0.811000, 15.000000, 0.010613
0.0008406639099121 0.811000 16.000000	0.811000, 16.000000, 0.010961
0.0008664131164551 0.811000 17.000000	0.811000, 17.000000, 0.011299
0.0008912086486816 0.811000 18.000000	0.811000, 18.000000, 0.011626
0.0009160041809082 0.811000 19.000000	0.811000, 19.000000, 0.011945
0.0009398460388184 0.811000 20.000000	0.811000, 20.000000, 0.012255
0.0002121925354004 0.812000 1.000000	0.812000, 1.000000, 0.002760
0.0002999305725098 0.812000 2.000000	0.812000, 2.000000, 0.003903
0.0003676414489746 0.812000 3.000000	0.812000, 3.000000, 0.004781
0.0004239082336426 0.812000 4.000000	0.812000, 4.000000, 0.005520
0.0004744529724121 0.812000 5.000000	0.812000, 5.000000, 0.006172
0.0005192756652832 0.812000 6.000000	0.812000, 6.000000, 0.006761
0.0005612373352051 0.812000 7.000000	0.812000, 7.000000, 0.007303
0.0005993843078613 0.812000 8.000000	0.812000, 8.000000, 0.007807
0.0006356239318848 0.812000 9.000000	0.812000, 9.000000, 0.008281
0.0006699562072754 0.812000 10.000000	0.812000, 10.000000, 0.008728
0.0007033348083496 0.812000 11.000000	0.812000, 11.000000, 0.009155
0.0007348060607910 0.812000 12.000000	0.812000, 12.000000, 0.009562
0.0007643699645996 0.812000 13.000000	0.812000, 13.000000, 0.009952
0.0007929801940918 0.812000 14.000000	0.812000, 14.000000, 0.010328
0.0008206367492676 0.812000 15.000000	0.812000, 15.000000, 0.010690
0.0008482933044434 0.812000 16.000000	0.812000, 16.000000, 0.011041
0.0008740425109863 0.812000 17.000000	0.812000, 17.000000, 0.011381
0.0008997917175293 0.812000 18.000000	0.812000, 18.000000, 0.011710
0.0009236335754395 0.812000 19.000000	0.812000, 19.000000, 0.012031
0.0009484291076660 0.812000 20.000000	0.812000, 20.000000, 0.012344
0.0002140998840332 0.813000 1.000000	0.813000, 1.000000, 0.002780
0.0003027915954590 0.813000 2.000000	0.813000, 2.000000, 0.003931
0.0003705024719238 0.813000 3.000000	0.813000, 3.000000, 0.004815
0.0004277229309082 0.813000 4.000000	0.813000, 4.000000, 0.005560
0.0004782676696777 0.813000 5.000000	0.813000, 5.000000, 0.006216
0.0005240440368652 0.813000 6.000000	0.813000, 6.000000, 0.006809
0.0005660057067871 0.813000 7.000000	0.813000, 7.000000, 0.007355
0.0006051063537598 0.813000 8.000000	0.813000, 8.000000, 0.007863
0.0006413459777832 0.813000 9.000000	0.813000, 9.000000, 0.008339
0.0006766319274902 0.813000 10.000000	0.813000, 10.000000, 0.008791
0.0007090568542480 0.813000 11.000000	0.813000, 11.000000, 0.009220
0.0007405281066895 0.813000 12.000000	0.813000, 12.000000, 0.009630
0.0007710456848145 0.813000 13.000000	0.813000, 13.000000, 0.010023
0.0008006095886230 0.813000 14.000000	0.813000, 14.000000, 0.010401
0.0008282661437988 0.813000 15.000000	0.813000, 15.000000, 0.010766
0.0008559226989746 0.813000 16.000000	0.813000, 16.000000, 0.011119
0.0008816719055176 0.813000 17.000000	0.813000, 17.000000, 0.011462
0.0009074211120605 0.813000 18.000000	0.813000, 18.000000, 0.011794
0.0009322166442871 0.813000 19.000000	0.813000, 19.000000, 0.012117
0.0009570121765137 0.813000 20.000000	0.813000, 20.000000, 0.012432
0.0002160072326660 0.814000 1.000000	0.814000, 1.000000, 0.002799
0.0003056526184082 0.814000 2.000000	0.814000, 2.000000, 0.003959
0.0003743171691895 0.814000 3.000000	0.814000, 3.000000, 0.004848
0.0004315376281738 0.814000 4.000000	0.814000, 4.000000, 0.005599
0.0004820823669434 0.814000 5.000000	0.814000, 5.000000, 0.006259
0.0005288124084473 0.814000 6.000000	0.814000, 6.000000, 0.006857
0.0005707740783691 0.814000 7.000000	0.814000, 7.000000, 0.007406
0.0006108283996582 0.814000 8.000000	0.814000, 8.000000, 0.007917
0.0006470680236816 0.814000 9.000000	0.814000, 9.000000, 0.008398
0.0006823539733887 0.814000 10.000000	0.814000, 10.000000, 0.008852
0.0007157325744629 0.814000 11.000000	0.814000, 11.000000, 0.009284
0.0007472038269043 0.814000 12.000000	0.814000, 12.000000, 0.009697
0.0007777214050293 0.814000 13.000000	0.814000, 13.000000, 0.010093
0.0008072853088379 0.814000 14.000000	0.814000, 14.000000, 0.010474
0.0008358955383301 0.814000 15.000000	0.814000, 15.000000, 0.010841
0.0008635520935059 0.814000 16.000000	0.814000, 16.000000, 0.011197
0.0008902549743652 0.814000 17.000000	0.814000, 17.000000, 0.011542
0.0009160041809082 0.814000 18.000000	0.814000, 18.000000, 0.011876
0.0009407997131348 0.814000 19.000000	0.814000, 19.000000, 0.012202
0.0009646415710449 0.814000 20.000000	0.814000, 20.000000, 0.012519
0.0002179145812988 0.815000 1.000000	0.815000, 1.000000, 0.002818
0.0003085136413574 0.815000 2.000000	0.815000, 2.000000, 0.003986
0.0003771781921387 0.815000 3.000000	0.815000, 3.000000, 0.004882
0.0004353523254395 0.815000 4.000000	0.815000, 4.000000, 0.005637
0.0004868507385254 0.815000 5.000000	0.815000, 5.000000, 0.006302
0.0005335807800293 0.815000 6.000000	0.815000, 6.000000, 0.006904
0.0005764961242676 0.815000 7.000000	0.815000, 7.000000, 0.007457
0.0006155967712402 0.815000 8.000000	0.815000, 8.000000, 0.007972
0.0006527900695801 0.815000 9.000000	0.815000, 9.000000, 0.008455
0.0006890296936035 0.815000 10.000000	0.815000, 10.000000, 0.008913
0.0007224082946777 0.815000 11.000000	0.815000, 11.000000, 0.009348
0.0007538795471191 0.815000 12.000000	0.815000, 12.000000, 0.009763
0.0007853507995605 0.815000 13.000000	0.815000, 13.000000, 0.010162
0.0008149147033691 0.815000 14.000000	0.815000, 14.000000, 0.010546
0.0008435249328613 0.815000 15.000000	0.815000, 15.000000, 0.010916
0.0008711814880371 0.815000 16.000000	0.815000, 16.000000, 0.011274
0.0008978843688965 0.815000 17.000000	0.815000, 17.000000, 0.011621
0.0009236335754395 0.815000 18.000000	0.815000, 18.000000, 0.011958
0.0009493827819824 0.815000 19.000000	0.815000, 19.000000, 0.012285
0.0009741783142090 0.815000 20.000000	0.815000, 20.000000, 0.012605
0.0002198219299316 0.816000 1.000000	0.816000, 1.000000, 0.002837
0.0003104209899902 0.816000 2.000000	0.816000, 2.000000, 0.004013
0.0003809928894043 0.816000 3.000000	0.816000, 3.000000, 0.004915
0.0004391670227051 0.816000 4.000000	0.816000, 4.000000, 0.005675
0.0004916191101074 0.816000 5.000000	0.816000, 5.000000, 0.006345
0.0005383491516113 0.816000 6.000000	0.816000, 6.000000, 0.006950
0.0005812644958496 0.816000 7.000000	0.816000, 7.000000, 0.007507
0.0006213188171387 0.816000 8.000000	0.816000, 8.000000, 0.008026
0.0006594657897949 0.816000 9.000000	0.816000, 9.000000, 0.008512
0.0006947517395020 0.816000 10.000000	0.816000, 10.000000, 0.008973
0.0007290840148926 0.816000 11.000000	0.816000, 11.000000, 0.009411
0.0007615089416504 0.816000 12.000000	0.816000, 12.000000, 0.009829
0.0007920265197754 0.816000 13.000000	0.816000, 13.000000, 0.010231
0.0008215904235840 0.816000 14.000000	0.816000, 14.000000, 0.010617
0.0008511543273926 0.816000 15.000000	0.816000, 15.000000, 0.010990
0.0008788108825684 0.816000 16.000000	0.816000, 16.000000, 0.011350
0.0009055137634277 0.816000 17.000000	0.816000, 17.000000, 0.011699
0.0009322166442871 0.816000 18.000000	0.816000, 18.000000, 0.012038
0.0009579658508301 0.816000 19.000000	0.816000, 19.000000, 0.012368
0.0009827613830566 0.816000 20.000000	0.816000, 20.000000, 0.012690
0.0002217292785645 0.817000 1.000000	0.817000, 1.000000, 0.002856
0.0003132820129395 0.817000 2.000000	0.817000, 2.000000, 0.004039
0.0003838539123535 0.817000 3.000000	0.817000, 3.000000, 0.004947
0.0004429817199707 0.817000 4.000000	0.817000, 4.000000, 0.005713
0.0004954338073730 0.817000 5.000000	0.817000, 5.000000, 0.006387
0.0005431175231934 0.817000 6.000000	0.817000, 6.000000, 0.006997
0.0005869865417480 0.817000 7.000000	0.817000, 7.000000, 0.007557
0.0006270408630371 0.817000 8.000000	0.817000, 8.000000, 0.008079
0.0006651878356934 0.817000 9.000000	0.817000, 9.000000, 0.008569
0.0007014274597168 0.817000 10.000000	0.817000, 10.000000, 0.009032
0.0007348060607910 0.817000 11.000000	0.817000, 11.000000, 0.009473
0.0007681846618652 0.817000 12.000000	0.817000, 12.000000, 0.009895
0.0007996559143066 0.817000 13.000000	0.817000, 13.000000, 0.010299
0.0008292198181152 0.817000 14.000000	0.817000, 14.000000, 0.010687
0.0008587837219238 0.817000 15.000000	0.817000, 15.000000, 0.011063
0.0008864402770996 0.817000 16.000000	0.817000, 16.000000, 0.011425
0.0009140968322754 0.817000 17.000000	0.817000, 17.000000, 0.011777
0.0009407997131348 0.817000 18.000000	0.817000, 18.000000, 0.012118
0.0009665489196777 0.817000 19.000000	0.817000, 19.000000, 0.012450
0.0009913444519043 0.817000 20.000000	0.817000, 20.000000, 0.012774
0.0002236366271973 0.818000 1.000000	0.818000, 1.000000, 0.002875
0.0003161430358887 0.818000 2.000000	0.818000, 2.000000, 0.004066
0.0003876686096191 0.818000 3.000000	0.818000, 3.000000, 0.004980
0.0004477500915527 0.818000 4.000000	0.818000, 4.000000, 0.005750
0.0005002021789551 0.818000 5.000000	0.818000, 5.000000, 0.006429
0.0005478858947754 0.818000 6.000000	0.818000, 6.000000, 0.007042
0.0005917549133301 0.818000 7.000000	0.818000, 7.000000, 0.007606
0.0006327629089355 0.818000 8.000000	0.818000, 8.000000, 0.008132
0.0006709098815918 0.818000 9.000000	0.818000, 9.000000, 0.008625
0.0007071495056152 0.818000 10.000000	0.818000, 10.000000, 0.009091
0.0007414817810059 0.818000 11.000000	0.818000, 11.000000, 0.009535
0.0007748603820801 0.818000 12.000000	0.818000, 12.000000, 0.009959
0.0008063316345215 0.818000 13.000000	0.818000, 13.000000, 0.010366
0.0008368492126465 0.818000 14.000000	0.818000, 14.000000, 0.010757
0.0008664131164551 0.818000 15.000000	0.818000, 15.000000, 0.011135
0.0008950233459473 0.818000 16.000000	0.818000, 16.000000, 0.011500
0.0009226799011230 0.818000 17.000000	0.818000, 17.000000, 0.011854
0.0009493827819824 0.818000 18.000000	0.818000, 18.000000, 0.012197
0.0009751319885254 0.818000 19.000000	0.818000, 19.000000, 0.012532
0.0009999275207520 0.818000 20.000000	0.818000, 20.000000, 0.012857
0.0002255439758301 0.819000 1.000000	0.819000, 1.000000, 0.002893
0.0003190040588379 0.819000 2.000000	0.819000, 2.000000, 0.004092
0.0003914833068848 0.819000 3.000000	0.819000, 3.000000, 0.005012
0.0004515647888184 0.819000 4.000000	0.819000, 4.000000, 0.005787
0.0005049705505371 0.819000 5.000000	0.819000, 5.000000, 0.006470
0.0005526542663574 0.819000 6.000000	0.819000, 6.000000, 0.007087
0.0005974769592285 0.819000 7.000000	0.819000, 7.000000, 0.007655
0.0006384849548340 0.819000 8.000000	0.819000, 8.000000, 0.008184
